,0,1
0,0.13803628,0.8603972
1,0.9999999,0.013126254
2,0.35269716,0.686316
3,0.92592484,0.08421564
4,0.9822322,0.0
5,0.9699248,0.0364995
6,0.9222325,0.0770964
7,0.9001293,0.11256406
8,0.10729134,0.89052826
9,0.011413127,0.97339016
10,0.6869871,0.30123082
11,0.8756801,0.16737756
12,0.80273986,0.20229888
13,0.9360087,0.07296264
14,0.106467634,0.8831469
15,0.038909286,0.937785
16,0.11173555,0.9056984
17,0.69052714,0.29677284
18,0.84441197,0.16313195
19,0.8384072,0.1713273
20,0.07071823,0.92652166
21,0.0,0.98356247
22,0.6608179,0.50651383
23,0.13377047,0.8493697
24,0.01568079,0.97931826
25,0.9731041,0.03566897
26,0.9136214,0.104492545
27,0.8983807,0.10352507
28,0.8726313,0.1302414
29,0.06903368,0.9239435
30,0.07877374,0.91165054
31,0.8070075,0.19163254
32,0.086461544,0.91866803
33,0.9374026,0.057756305
34,0.09547928,0.9015672
35,0.18390805,0.8205004
36,0.9014734,0.11075425
37,0.74276483,0.2584966
38,0.69768894,0.30981016
39,0.40653506,0.1869734
40,0.62674737,0.37882006
41,0.90146977,0.09648007
42,0.8893963,0.08700919
43,0.90514004,0.102680504
44,0.031158477,0.9671081
45,0.91111314,0.08648378
46,0.13394514,0.84445643
47,0.94173825,0.06632087
48,0.09647387,0.9421983
49,0.14303726,0.8486773
50,0.01992923,0.9698233
51,0.6837518,0.32788295
52,0.6132915,0.39149117
53,0.9197358,0.09307444
54,0.15516546,0.84522426
55,0.26867348,0.72886574
56,0.26296437,0.2824585
57,0.88733053,0.11125174
58,0.06370965,0.9228277
59,0.047780514,0.9404539
60,0.083278984,0.91426784
61,0.04565105,0.9579969
62,0.120964736,0.87295485
63,0.49928036,0.7939487
64,0.14054099,0.85400325
65,0.961957,0.03287673
66,0.9861882,0.030944109
67,0.26560983,0.74072146
68,0.85801315,0.13454744
69,0.8954983,0.123467565
70,0.005036235,0.9999999
71,0.036723673,0.9633039
72,0.06404877,0.9183595
73,0.8120442,0.17649749
74,0.59744936,0.3751372
75,0.15124995,0.8382001
76,0.94887245,0.07093921
77,0.082986,0.9191961
78,0.029192835,0.9651332
79,0.6988725,0.341928
80,0.0678778,0.9124579
81,0.9194313,0.09524581
82,0.06389573,0.92234993
83,0.95671034,0.044537127
84,0.9405178,0.07635799
85,0.13817367,0.8325492
86,0.061253786,0.93411005
87,0.9147483,0.0866293
88,0.88947755,0.12573197
89,0.6917814,0.31293845
90,0.06855199,0.93245244
91,0.904819,0.08945784
92,0.12388742,0.8526864
93,0.17382559,0.829057
94,0.12264803,0.86804533
95,0.9244541,0.088656306
96,0.8929529,0.13199109
97,0.033088982,0.8651655
98,0.12642333,0.8759905
99,0.9092196,0.08959839
100,0.9517065,0.06201768
101,0.9179795,0.0712744
102,0.38493037,0.5571805
103,0.91121304,0.10655153
104,0.6470209,0.35697082
105,0.08740893,0.9084441
106,8.061528e-05,0.9913199
107,0.85216236,0.15140766
108,0.0075116754,0.9834079
109,0.93922865,0.07367119
110,0.8502972,0.16011298
111,0.09845021,0.88751817
112,0.0899767,0.90056366
113,0.7879357,0.16570094
114,0.88792014,0.117417365
115,0.29733732,0.8120606
116,0.1762487,0.8385369
117,0.18786183,0.81395185
118,0.18177739,0.817829
119,0.87498605,0.1239481
120,0.081885785,0.9082917
121,0.20282602,0.7915855
122,0.0570513,0.9309544
123,0.7766374,0.2228733
124,0.08764517,0.9015899
125,0.21574093,0.77561706
126,0.09852478,0.90016556
127,0.29987755,0.6958099
